order_id,date,region,category,channel,units_sold,unit_price,discount_pct,customer_age,customer_rating,revenue,discount_amt,net_revenue,month,month_name,quarter
1001,2023-01-01 00:00:00.000000,East,Electronics,In-Store,3,340.82,15.0,64,4.2,1022.46,153.36900000000003,869.091,1,Jan,1
1002,2023-01-01 08:44:41.081081,West,Electronics,Phone,13,66.85,20.0,29,1.5,869.05,173.81,695.24,1,Jan,1
1003,2023-01-01 17:29:22.162162,North,Electronics,In-Store,43,30.72,20.0,64,1.3,1320.96,264.192,1056.768,1,Jan,1
1004,2023-01-02 02:14:03.243243,East,Sports,In-Store,49,286.67,5.0,30,4.6,14046.83,702.3415,13344.4885,1,Jan,1
1005,2023-01-02 10:58:44.324324,East,Groceries,Phone,30,465.78,5.0,67,2.6,13973.4,698.67,13274.73,1,Jan,1
1006,2023-01-02 19:43:25.405405,West,Sports,Online,45,423.68,0.0,64,2.2,19065.6,0.0,19065.6,1,Jan,1
1007,2023-01-03 04:28:06.486486,North,Groceries,Phone,6,341.17,15.0,28,3.9,2047.02,307.053,1739.967,1,Jan,1
1008,2023-01-03 13:12:47.567567,North,Sports,Online,17,78.17,15.0,36,4.3,1328.89,199.33350000000002,1129.5565000000001,1,Jan,1
1009,2023-01-03 21:57:28.648648,East,Sports,Phone,45,134.57,20.0,52,4.4,6055.65,1211.13,4844.5199999999995,1,Jan,1
1010,2023-01-04 06:42:09.729729,South,Furniture,Phone,19,439.0,0.0,56,2.3,8341.0,0.0,8341.0,1,Jan,1
1011,2023-01-04 15:26:50.810810,East,Sports,In-Store,42,99.58,15.0,43,4.4,4182.36,627.3539999999999,3555.006,1,Jan,1
1012,2023-01-05 00:11:31.891891,East,Clothing,Online,35,146.44,0.0,63,1.2,5125.4,0.0,5125.4,1,Jan,1
1013,2023-01-05 08:56:12.972972,East,Furniture,In-Store,46,73.5,,31,1.2,3381.0,,,1,Jan,1
1014,2023-01-05 17:40:54.054054,East,Sports,Online,26,341.29,20.0,62,3.5,8873.54,1774.708,7098.832,1,Jan,1
1015,2023-01-06 02:25:35.135135,West,Electronics,Phone,5,472.55,0.0,61,1.3,2362.75,0.0,2362.75,1,Jan,1
